Symbol,text
ATO,"About Atmos Energy CorporationAtmos Energy Corporation is a fully-regulated, natural-gas-only distributor engaged primarily in the regulated natural gas distribution and pipeline businesses, as well as other nonregulated natural gas businesses. It operates through three segments: regulated distribution segment, which includes its regulated distribution and related sales operations; regulated pipeline segment, which includes pipeline and storage operations of its Atmos Pipeline-Texas Division, and nonregulated segment, which includes its nonregulated natural gas management, nonregulated natural gas transmission, storage and other services. Its nonregulated businesses provide natural gas management, transportation and storage services to local gas distribution companies, including certain of its natural gas distribution divisions and industrial customers in the Midwest and Southeast. It also manages its natural gas pipeline and storage assets, including its intrastate natural gas pipeline systems in Texas."
ADSK,"About Autodesk, Inc.Autodesk, Inc. is a design software and services company, offering customers productive business solutions through technology products and services. The Company's segments include Architecture, Engineering and Construction (AEC), Platform Solutions and Emerging Business (PSEB), Manufacturing (MFG), and Media and Entertainment (M&E). The Company serves customers in the architecture, engineering and construction; product design and manufacturing; and digital media and entertainment industries. The Company's product development and manufacturing software provides manufacturers in automotive, transportation, industrial machinery, consumer products and building products with digital engineering solutions. The Company's product offerings include, AutoCAD, AutoCAD LT, Industry Collections, 3ds Max, Maya, Revit, Inventor, AutoCAD Civil three dimensional (3D), CAM Solutions, Fusion 360, BIM 360 and Shotgun."
ADP,"About Automatic Data Processing IncAutomatic Data Processing, Inc. (ADP) is a provider of human capital management (HCM) solutions to employers, offering solutions to businesses of various sizes. The Company also provides business process outsourcing solutions. Its segments include Employer Services and Professional Employer Organization (PEO) Services. The Employer Services segment offers a range of human resources (HR) business process outsourcing and technology-enabled HCM solutions. These offerings include payroll services, benefits administration, talent management, HR management, time and attendance management, insurance services, retirement services, and tax and compliance services. ADP TotalSource, ADP's PEO business, offers small and mid-sized businesses a HR outsourcing solution through a co-employment model. As a PEO, ADP TotalSource provides HR management services while the client continues to direct the day-to-day job-related duties of the employees."
AZO,"About AutoZone, Inc.AutoZone, Inc. is a retailer and distributor of automotive replacement parts and accessories in the United States. The Company operates through the Auto Parts Locations segment. The Auto Parts Locations segment is a retailer and distributor of automotive parts and accessories. As of February 10, 2018, the Company operated through 6,088 locations in the United States, Puerto Rico, Mexico and Brazil. The Company's stores carry product lines for cars, sport utility vehicles, vans and light trucks, including new and remanufactured automotive hard parts, maintenance items, accessories and non-automotive products. The Company's other operating segments include ALLDATA, which produces, sells and maintains diagnostic and repair information software used in the automotive repair industry, and E-commerce, which includes direct sales to customers through www.autozone.com."
AVB,"About AvalonBay Communities IncAvalonBay Communities, Inc. is a real estate investment trust (REIT). The Company is focused on the development, redevelopment, acquisition, ownership and operation of multifamily communities primarily in New England, the New York/New Jersey metro area, the Mid-Atlantic, the Pacific Northwest, and Northern and Southern California. Its segments include Established Communities, Other Stabilized Communities and Development/Redevelopment Communities. As of June 30, 2017, the Company owned or held a direct or indirect ownership interest in 287 apartment communities containing 83,123 apartment homes in 10 states and the District of Columbia, of which 23 communities were under development and nine communities were under redevelopment. It operates its apartment communities under three core brands: Avalon, AVA and Eaves by Avalon. Its real estate investments consist of operating apartment communities, communities in various stages of development (Development Communities) and Development Rights."
AVY,"About Avery Dennison CorpAvery Dennison Corporation (Avery Dennison) is engaged in the production of pressure-sensitive materials and a range of tickets, tags, labels and other converted products. The Company's segments include Label and Graphic Materials (LGM); Retail Branding and Information Solutions (RBIS), and Industrial and Healthcare Materials (IHM). The Company's LGM segment manufactures and sells Fasson-, JAC-, and Avery Dennison-brand pressure-sensitive label and packaging materials, Avery Dennison- and Mactac-brand graphics, and Avery Dennison-brand reflective products. The Company's RBIS segment designs, manufactures and sells a range of branding and information solutions to retailers, brand owners, apparel manufacturers, distributors and industrial customers on a global basis. The Company's IHM segment manufactures and sells Fasson-brand and Avery Dennison-brand tapes and fasteners, Vancive-brand medical pressure-sensitive adhesive (PSA) based materials and products, and performance polymers."
BKR,"About Baker Hughes CoBaker Hughes Company is an energy technology company. The Company operates through four business segments: Oilfield Services (OFS), Oilfield Equipment (OFE), Turbomachinery & Process Solutions (TPS), and Digital Solutions (DS). OFS designs and manufactures products and services for onshore and offshore oil and gas operations across the lifecycle of a well, including exploration, drilling, evaluation, completion, production, intervention and abandonment. OFE provides a portfolio of mission critical products and services utilized during drilling and over the life of a field. TPS provides equipment and related services for mechanical-drive, compression and power-generation applications across the oil and gas industry and energy industry. DS combines hardware technologies with enterprise-class software products and analytics to connect industrial assets, providing customers with the data, safety and security. The Company distributes products and services to oil and gas markets."
BLL,"About Ball CorporationBall Corporation is a supplier of metal packaging to the beverage, food, personal care and household products industries. The Company's packaging products are produced for a range of end uses and are manufactured in facilities around the world. Its segments include beverage packaging, North and Central America; beverage packaging, South America; beverage packaging, Europe; food and aerosol packaging; aerospace, and other. Its major product line is aluminum and steel beverage containers. It produces steel food, aerosol and extruded aluminum aerosol containers and aluminum slugs. Its aerospace business designs, develops and manufactures aerospace systems for civil, commercial and national cyber security aerospace markets. It produces spacecraft, instruments and sensors, radio frequency systems and components, data exploitation solutions and a range of aerospace technologies and products."
BAC,"About Bank of America CorpBank of America Corporation is a bank holding company and a financial holding company. The Company is a financial institution, serving individual consumers and others with a range of banking, investing, asset management and other financial and risk management products and services. The Company, through its banking and various non-bank subsidiaries, throughout the United States and in international markets, provides a range of banking and non-bank financial services and products through four business segments: Consumer Banking, which comprises Deposits and Consumer Lending; Global Wealth & Investment Management, which consists of two primary businesses: Merrill Lynch Global Wealth Management and U.S. Trust, Bank of America Private Wealth Management; Global Banking, which provides a range of lending-related products and services; Global Markets, which offers sales and trading services, and All Other, which consists of equity investments, residual expense allocations and other."
BK,"About Bank of New York Mellon CorpThe Bank of New York Mellon Corporation is a global investments company, which is focused on helping its clients manage and service their financial assets throughout the investment lifecycle. It provides financial services for institutions, corporations or individual investors. It allows clients to create, trade, hold, manage, service, distribute or restructure investments. It delivers Investment Management and Investment Services in 35 countries. It also has an Other segment, which includes the leasing portfolio, corporate treasury activities, derivatives and other trading, corporate and bank-owned life insurance and renewable energy investments, and business exits. As of September 30, 2018, the Company had $34.5 trillion in assets under custody and/or administration and $1.8 trillion in assets under management. It offers a range of actively managed equity and fixed income. It offers asset servicing, clearing services, issuer services and treasury services to its clients."
BAX,"About Baxter International IncBaxter International Inc., through its subsidiaries, provides renal and hospital products. The Company operates through two segments: Hospital Products and Renal. Its Hospital Products business manufactures sterile intravenous (IV) solutions and administration sets, premixed drugs and drug-reconstitution systems, pre-filled vials and syringes for injectable drugs, IV nutrition products, parenteral nutrition therapies, infusion pumps, inhalation anesthetics and biosurgery products. The Renal business offers a portfolio to meet the needs of patients with end-stage renal disease, or irreversible kidney disease and acute kidney injuries, including technologies and therapies for peritoneal dialysis (PD), hemodialysis (HD), continuous renal replacement therapy (CRRT) and additional dialysis services. Its products are used by hospitals, kidney dialysis centers, nursing homes, rehabilitation centers, doctors' offices and by patients at home under physician supervision."
BDX,"About Becton Dickinson and CoBecton, Dickinson and Company (BD) is a global medical technology company engaged in the development, manufacture and sale of a range of medical supplies, devices, laboratory equipment and diagnostic products. The Company operates through two segments: BD Medical and BD Life Sciences. The BD Medical segment produces an array of medical technologies and devices that are used to help improve healthcare delivery in a range of settings. BD Medical consists of various business units, including diabetes care, medication and procedural solutions, medication management solutions and pharmaceutical systems. The BD Life Sciences segment provides products for the safe collection and transport of diagnostics specimens, and instruments and reagent systems to detect a range of infectious diseases, healthcare-associated infections and cancers. The Company's BD Life Sciences segment consists of various business units, including preanalytical systems, diagnostic systems and biosciences."
BRK.B,"About Berkshire Hathaway Inc.Berkshire Hathaway Inc. is a holding company owning subsidiaries engaged in various business activities, including insurance and reinsurance, utilities and energy, freight rail transportation, manufacturing and retailing. Its segments include Insurance, such as GEICO, Berkshire Hathaway Primary Group and Berkshire Hathaway Reinsurance Group; Burlington Northern Santa Fe, LLC, which is engaged in the operation of the railroad system; Berkshire Hathaway Energy, which includes regulated electric and gas utility; Manufacturing, which includes manufacturers of various products, including industrial, consumer and building products; McLane Company, which is engaged in the wholesale distribution of groceries and non-food items; Service and retailing, which includes providers of various services, including shared aircraft ownership programs, aviation pilot training, electronic components distribution and various retailing businesses, including automobile dealerships and furniture leasing."
BBY,"About Best Buy Co IncBest Buy Co., Inc. is a provider of technology products, services and solutions. The Company offers products and services to the customers visiting its stores, engaging with Geek Squad agents, or using its Websites or mobile applications. It has operations in the United States, Canada and Mexico. The Company operates through two segments: Domestic and International. The Domestic segment consists of the operations in all states, districts and territories of the United States, under various brand names, including Best Buy, bestbuy.com, Best Buy Mobile, Best Buy Direct, Best Buy Express, Geek Squad, Magnolia Home Theater, and Pacific Kitchen and Home. The International segment consists of all operations in Canada and Mexico under the brand names, Best Buy, bestbuy.com.ca, bestbuy.com.mx, Best Buy Express, Best Buy Mobile and Geek Squad. As of December 31, 2016, the Company operated 1,200 large-format and 400 small-format stores throughout its Domestic and International segments."
BIO,"About Bio-Rad Laboratories, Inc.Bio-Rad Laboratories, Inc. manufactures and supplies the life science research, healthcare, analytical chemistry and other markets with a range of products and systems used to separate chemical and biological materials and to identify, analyze and purify their components. The Company operates through two segments: Life Science and Clinical Diagnostics. Life Science segment markets and develops, manufactures and markets approximately 6,000 reagents, apparatus and laboratory instruments. Its products are used in research techniques, biopharmaceutical production processes and food testing regimes. Clinical Diagnostics segment designs, manufactures, sells and supports test systems, informatics systems, test kits and specialized quality controls that serve clinical laboratories in the global diagnostics market."
BIIB,"About Biogen IncBiogen Inc. is a biopharmaceutical company. The Company focuses on discovering, developing, manufacturing and delivering therapies to people living with serious neurological, rare and autoimmune diseases. The Company markets products, including TECFIDERA, AVONEX, PLEGRIDY, TYSABRI, ZINBRYTA and FAMPYRA for multiple sclerosis (MS), FUMADERM for the treatment of severe plaque psoriasis and SPINRAZA for the treatment of spinal muscular atrophy (SMA). It also has a collaboration agreement with Genentech, Inc. (Genentech), a member of the Roche Group, with respect to RITUXAN for the treatment of non-Hodgkin's lymphoma, chronic lymphocytic leukemia (CLL) and other conditions, GAZYVA indicated for the treatment of CLL and follicular lymphoma, and other anti-CD20 therapies. The Company's product candidate includes OCREVUS; Biosimilar adalimumab; Aducanumab; E2609; BIIB074; BAN2401; Opicinumab; CIRARA; BIIB061; BIIB054; BIIB067, and BIIB068."
BLK,"About BlackRock, Inc.BlackRock, Inc. (BlackRock) is an investment management company. BlackRock provides a range of investment and risk management services to institutional and retail clients worldwide. Its diverse platform of active (alpha) and index (beta) investment strategies across asset classes enables the Company to tailor investment outcomes and asset allocation solutions for clients. Its product offerings include single- and multi-asset portfolios investing in equities, fixed income, alternatives and money market instruments. Its products are offered directly and through intermediaries in a range of vehicles, including open-end and closed-end mutual funds, iShares exchange-traded funds (ETFs), separate accounts, collective investment funds and other pooled investment vehicles. It offers its Aladdin investment system, as well as risk management, outsourcing, advisory and technology services, to institutional investors and wealth management intermediaries under the BlackRock Solutions name."
BA,"About Boeing CoThe Boeing Company is an aerospace firm. The Company operates in four segments: Commercial Airplanes (BCA); Defense, Space & Security (BDS); Global Services (BGS), and Boeing Capital (BCC). BCA segment develops, produces and markets commercial jet aircraft and provides fleet support services, principally to the commercial airline industry worldwide. BDS segment is engaged in the research, development, production and modification of manned and unmanned military aircraft and weapons systems for strike, surveillance and mobility. BGS segment provides services to commercial and defense customers worldwide. BCC's segment portfolio consists of equipment under operating leases, finance leases, notes and other receivables and assets held for sale."
BKNG,"About Booking Holdings IncBooking Holdings Inc., formerly The Priceline Group Inc., is a provider of travel and restaurant online reservation and related services. The Company, through its online travel companies (OTCs), connects consumers wishing to make travel reservations with providers of travel services across the world. It offers consumers an array of accommodation reservations (including hotels, bed and breakfasts, hostels, apartments, vacation rentals and other properties) through its Booking.com, priceline.com and agoda.com brands. Its other brands include KAYAK, Rentalcars.com and OpenTable, Inc. (OpenTable). As of December 31, 2016, Booking.com offered accommodation reservation services for over 1,115,000 properties in over 220 countries and territories on its various Websites and in over 40 languages, which included over 568,000 vacation rental properties."
BWA,"About BorgWarner Inc.BorgWarner Inc. is engaged in providing technology solutions for combustion, hybrid and electric vehicles. The Company's segments include Engine and Drivetrain. The Engine segment's products include turbochargers, timing devices and chains, emissions systems and thermal systems. The Engine segment develops and manufactures products for gasoline and diesel engines, and alternative powertrains. The Drivetrain segment's products include transmission components and systems, all-wheel drive (AWD) torque transfer systems and rotating electrical devices. The Company's products are manufactured and sold across the world, primarily to original equipment manufacturers (OEMs) of light vehicles (passenger cars, sport-utility vehicles (SUVs), vans and light trucks). The Company's products are also sold to other OEMs of commercial vehicles (medium-duty trucks, heavy-duty trucks and buses) and off-highway vehicles (agricultural and construction machinery and marine applications."
BXP,"About Boston Properties, Inc.Boston Properties, Inc. is a real estate investment trust. The Company is an owner and developer of office properties in the United States. Its segments by geographic area are Boston, Los Angeles, New York, San Francisco and Washington, District of Columbia (DC). Its segments by property type include Office, Residential and Hotel. The Company owned or had interests in approximately 196 commercial real estate properties, aggregating approximately 51.6 million net rentable square feet of primarily Class A office properties, including nine properties under construction/redevelopment totaling approximately 4.3 million net rentable square feet. The Company's properties consisted of 177 Office properties (including nine properties under construction/redevelopment); one hotel; 12 retail properties, and six residential properties. The Company's tenant base includes sectors, technology, media and life sciences, legal services, financial services, and other professional services."
BSX,"About Boston Scientific CorporationBoston Scientific Corporation is a developer, manufacturer and marketer of medical devices that are used in a range of interventional medical specialties. The Company offers its products by seven businesses: Interventional Cardiology, Cardiac Rhythm Management, Endoscopy, Peripheral Interventions, Urology and Pelvic Health, Neuromodulation, and Electrophysiology. It operates in three segments: Cardiovascular, Rhythm Management and MedSurg. Its Cardiovascular segment consists of Interventional Cardiology and Peripheral Interventions businesses. Rhythm Management consists of Cardiac Rhythm Management and Electrophysiology businesses. MedSurg consists of Endoscopy, Urology and Pelvic Health, and Neuromodulation businesses. Its Interventional Cardiology product offerings include balloon catheters, rotational atherectomy systems, guide wires, guide catheters and embolic protection devices and diagnostic catheters used in percutaneous transluminal coronary angioplasty (PTCA) procedures."
BMY,"About Bristol-Myers Squibb CoBristol-Myers Squibb Company is engaged in the discovery, development, licensing, manufacturing, marketing, distribution and sale of biopharmaceutical products. The Company's pharmaceutical products include chemically synthesized drugs, or small molecules, and products produced from biological processes called biologics. Small molecule drugs are administered orally in the form of a pill or tablet. Biologics are administered to patients through injections or by infusion. Its products include Empliciti, Opdivo, Sprycel, Yervoy, Eliquis, Orencia, Baraclude, Hepatitis C Franchise, Reyataz Franchise and Sustiva Franchise. It offers products for a range of therapeutic classes, which include virology, including human immunodeficiency virus (HIV) infection; oncology; immunoscience, and cardiovascular. Its products are sold to wholesalers, retail pharmacies, hospitals, government entities and the medical profession across the world. Its subsidiaries are Celgene Corp and MyoKardia, Inc. "
AVGO,"About Broadcom IncBroadcom Inc. is a technology company. The Company designs, develops and supplies a range of semiconductor and infrastructure software solutions. It operates through two segments: semiconductor solutions and infrastructure software. Its semiconductor solutions segment includes semiconductor solution product lines, as well as its Internet protocol (IP) licensing. Its infrastructure software segment includes its mainframe and enterprise software solutions and fiber channel storage area networking business. It develops semiconductor devices with a focus on digital and mixed signal complementary metal oxide semiconductor (CMOS) based devices and analog III-V based products. It provides semiconductor solutions for managing the movement of data in data center, telecom, enterprise, and embedded networking applications. Its mainframe software solutions include solutions for the IBM Z mainframe platform, which runs business applications."
BR,"About Broadridge Financial Solutions, Inc.Broadridge Financial Solutions, Inc. (Broadridge) is a provider of investor communications and technology-driven solutions to banks, broker-dealers, mutual funds and corporate issuers. The Company's segments include Investor Communication Solutions, and Global Technology and Operations. The Company offers Bank/Broker-Dealer Investor Communication Solutions, Customer Communication Solutions, Corporate Issuer Solutions, Advisor Solutions and Mutual Fund and Retirement Solutions through Investor Communication Solutions segment. The Company offers a middle- and back-office securities processing platform for North American and global broker-dealers. Its services include investor and customer communications, securities processing, and data and analytics solutions. The Company delivers a range of solutions that helps its clients serve their retail and institutional customers across the entire investment lifecycle, including pre-trade, trade, and post-trade processing functionality."
BF.B,"About Brown-Forman CorporationBrown-Forman Corporation is a spirit and wine company. The Company manufactures, bottles, imports, exports, markets and sells a range of alcoholic beverages. The Company has a portfolio of approximately 40 spirit, wine and ready-to-drink cocktail (RTD) brands. Its principal brands include Jack Daniel's Tennessee Whiskey, Jack Daniel's RTDs, Jack Daniel's Tennessee Honey, Gentleman Jack Rare Tennessee Whiskey, Jack Daniel's Tennessee Fire, Jack Daniel's Single Barrel Collection, Jack Daniel's Sinatra Select, Jack Daniel's Winter Jack, Jack Daniel's No. 27 Gold Tennessee Whiskey, Finlandia Vodkas, Finlandia RTDs, Korbel California Brandy, Woodford Reserve Kentucky Bourbons, el Jimador Tequilas, el Jimador New Mix RTDs, Herradura Tequilas, Sonoma-Cutrer California Wines, Chambord Liqueur, Old Forester Kentucky Bourbon, Antiguo Tequila, Pepe Lopez Tequila, and Santa Dose Cachaca."
CHRW,"About CH Robinson Worldwide IncC.H. Robinson Worldwide, Inc. is a provider of transportation services and logistics solutions through a network of offices operating in North America, Europe, Asia, Australia, New Zealand and South America. The Company's segments include North American Surface Transportation (NAST), Global Forwarding, Robinson Fresh, and All Other and Corporate. The NAST segment provides freight transportation services across North America through a network of offices in the United States, Canada and Mexico. The primary services provided by Global Forwarding segment include ocean freight services, air freight services, and customs brokerage. The Robinson Fresh segment provides sourcing under the trade name Robinson Fresh. The All Other and Corporate segment primarily consists of Managed Services and Other Surface Transportation outside of North America. It develops global transportation and distribution networks to provide transportation and supply chain services throughout the world."
COG,"About Cabot Oil & Gas CorporationCabot Oil & Gas Corporation is an independent oil and gas company engaged in the development, exploitation and exploration of oil and gas properties. The Company operates in the segment of natural gas and oil development, exploitation, exploration and production, in the continental United States. Its assets are concentrated in areas with known hydrocarbon resources, which are conducive to multi-well, repeatable drilling programs. As of December 31, 2016, its exploration, development and production operations were primarily concentrated in two unconventional plays: the Marcellus Shale in northeast Pennsylvania and the Eagle Ford Shale in south Texas. The Company also has operations in various other unconventional and conventional plays throughout the continental United States. Its Marcellus Shale properties are principally located in Susquehanna County, Pennsylvania. Its properties in the Eagle Ford Shale are principally located in Atascosa, Frio and La Salle Counties, Texas."
CDNS,"About Cadence Design Systems IncCadence Design Systems, Inc. provides solutions that enable its customers to design electronic products. The Company's product categories include Functional Verification, Digital integrated circuits (IC) Design and Signoff, Custom IC Design and Verification, System Interconnect and Analysis, and intellectual property (IP). Functional verification products are used to verify that the circuitry or the software designed to perform as intended. Digital IC design offerings are used to create representations of a digital circuit or an IC that can be verified for correctness prior to implementation. Custom IC design and verification offerings are used to create schematic and physical representations of circuits down to the transistor level for analog and memory designs. System Interconnect and Analysis offerings are used to develop printed circuit boards and IC packages. Design IP offerings consist of functional blocks, which customers integrate into their ICs for the development process."
CZR,"About Caesars Entertainment IncCaesars Entertainment, Inc. is a gaming and hospitality company that owns and operates gaming facilities. Its principal operating activities are reported through geographic regions and reportable segments, including West, Midwest, South, East and Central. The West segment includes Silver Legacy Resort Casino, and Tropicana Laughlin Hotel and Casino. The Midwest segment includes Isle Casino Waterloo and Isle Casino Bettendorf. The South segment includes Isle Casino Racing Pompano Park, Isle of Capri Casino Lula, Isle of Capri Casino Hotel Lake Charles, Trop Casino Greenville, and Belle of Baton Rouge Casino and Hotel. The East segment includes Presque Isle Downs and Casino, ldorado Gaming Scioto Downs, and Tropicana Casino and Resort. The Central segment includes Tropicana Evansville, Lumiere Place Casino and Grand Victoria Casino."
CPB,"About Campbell Soup CompanyCampbell Soup Company (Campbell) is a food company, which manufactures and markets food products. The Company's segments include Americas Simple Meals and Beverages, and Global Biscuits and Snacks. The Americas Simple Meals and Beverages segment includes the retail and food service channel businesses. Americas Simple Meals and Beverages segment includes the products, such as Campbell's condensed and ready-to-serve soups; Swanson broth and stocks; Prego pasta sauces; Pace Mexican sauces; Campbell's gravies, pasta, beans and dinner sauces; Plum food and snacks; V8 juices and beverages, and Campbell's tomato juice. The Global Biscuits and Snacks segment includes Pepperidge Farm cookies, crackers, bakery and frozen products."
COF,"About Capital One Financial Corp.Capital One Financial Corporation is a diversified financial services holding company. The Company, along with its subsidiaries, offers a range of financial products and services to consumers, small businesses and commercial clients through branches, the Internet and other distribution channels. The Company's segments include Credit Card, Consumer Banking, Commercial Banking and Other. The Credit Card segment consists of its domestic consumer and small business card lending, and the international card lending businesses in Canada and the United Kingdom. The Consumer Banking segment consists of its branch-based lending and deposit gathering activities for consumers and small businesses, national deposit gathering, national auto lending and consumer home loan lending and servicing activities. The Commercial Banking consists of its lending, deposit gathering and treasury management services to commercial real estate, and commercial and industrial customers."
CAH,"About Cardinal Health IncCardinal Health, Inc. is a healthcare services and products company. The Company operates through two segments: Pharmaceutical and Medical. The Pharmaceutical segment distributes branded and generic pharmaceutical, specialty pharmaceutical, over-the-counter healthcare and consumer products. This segment also operates nuclear pharmacies and cyclotron facilities; provides pharmacy management services to hospitals, as well as medication therapy management and patient outcomes services to hospitals, other healthcare providers and payers, and provides services to healthcare companies. The Medical segment distributes a range of medical, surgical and laboratory products, and provides services to hospitals, ambulatory surgery centers, clinical laboratories and other healthcare providers. This segment also manufactures, sources and develops its own Cardinal Health brand medical and surgical products. It provides post-acute care management and transition services, and software to hospitals."
KMX,"About CarMax, IncCarMax, Inc. (CarMax) is a holding company. The Company is a retailer of used vehicles. The Company operates through two segments: CarMax Sales Operations and CarMax Auto Finance (CAF). The Company's CarMax Sales Operations segment consists of all aspects of its auto merchandising and service operations, excluding financing provided by CAF. The Company's CAF segment consists of its own finance operation that provides vehicle financing through CarMax stores. The Company operates approximately 160 used car stores in over 70 metropolitan markets. The Company's products and services include retail merchandising, wholesale auctions, extended protection plans (EPPs), reconditioning and service, and customer credit. The Company's CarMax Sales Operations segment sells used vehicles, purchases used vehicles from customers and other sources, sells related products and services, and arranges financing options for customers. CAF operates in the auto finance sector of the consumer finance market."
CCL,"About Carnival CorpCarnival Corporation is a leisure travel company. The Company is a cruise company of global cruise guests, and a provider of vacations to all cruise destinations throughout the world. The Company’s segment includes North America and Australia (NAA) and Europe and Asia (EAA). The Company's North America and Australia segment includes Carnival Cruise Line, Princess Cruises, Holland America Line, P&O Cruises (Australia) and Seabourn. The Company's EAA segment includes Costa Cruises (Costa), AIDA Cruises (AIDA), P&O Cruises (United Kingdom) and Cunard. The Company's geographic areas include United States, Canada, Continental Europe, Asia, Australia, New Zealand and United Kingdom. The Company's ships sail to all cruise destinations, including Alaska; Antarctica and Patagonia; Arabia, Africa and India; Asia; Australia and South Pacific; Canada and New England; the Caribbean; the Mediterranean; Northern Europe; Pacific Coastal; Panama Canal and South America. "
CARR,"About Carrier Global CorpCarrier Global Corp is a provider of heating, ventilation, and air conditioning (HVAC), refrigeration, fire and security solutions. The Company operates through three segments: HVAC; Refrigeration; and Fire & Security. The HVAC segment provides products, controls, services and solutions to meet the heating and cooling needs of residential and commercial customers. The Refrigeration segment is comprised of transport refrigeration and commercial refrigeration products and solutions. Its transport refrigeration products and services include refrigeration and monitoring systems for trucks, trailers, intermodal and rail. Its commercial refrigeration equipment solutions preserve freshness of retail food and beverage. Its fire and security products include a range of residential and building systems, including fire, flame, gas, smoke and carbon monoxide detection; fire suppression systems, intruder alarms; access control systems and video management systems; and electronic controls."
CTLT,"About Catalent IncCatalent, Inc. provides delivery technologies and development solutions for drugs, biologics, and consumer and animal health products. Its segments include Softgel Technologies, Drug Delivery Solutions and Clinical Supply Services. The Softgel Technologies segment is engaged in the formulation, development and manufacturing of prescription and consumer health soft capsules or softgels. The Drug Delivery Solutions segment is engaged in the formulation, development and manufacturing of prescription and consumer and animal health products; blow-fill seal unit dose manufacturing; biologic cell line development; analytical and bioanalytical development, and testing services. The Clinical Supply Services segment is engaged in manufacturing, packaging, labeling, storage, distribution and inventory management for clinical trials of drugs and biologics for patient kits; FastChain clinical supply service; clinical e-solutions and informatics, and global comparator sourcing services."
CAT,"About Caterpillar Inc.Caterpillar Inc. is a manufacturer of construction and mining equipment, diesel and natural gas engines, industrial gas turbines and diesel-electric locomotives. The Company operates through segments, including Construction Industries, which is engaged in supporting customers using machinery in infrastructure, forestry and building construction; Resource Industries, which is engaged in supporting customers using machinery in mining, quarry, waste and material handling applications; Energy & Transportation, which supports customers in oil and gas, power generation, marine, rail and industrial applications, including Cat machines; Financial Products segment, which provides financing and related services, and All Other operating segments, which includes activities, such as product management and development, and manufacturing of filters and fluids, undercarriage, tires and rims, ground engaging tools, fluid transfer products, and sealing and connecting components for Cat products."
CBOE,"About Cboe Global Markets IncCboe Global Markets, Inc. is a holding company that provides trading and investment solutions to investors around the world. The Company offers trading across a diverse range of products in multiple asset classes and geographies, including options, futures, United States and European equities, exchange-traded products (ETPs), global foreign exchange (FX) and multi-asset volatility products based on the Cboe Volatility Index (VIX Index). The Company’s trading venues include the options exchange in the United States and the stock exchange in Europe. Its products include VIX Index & Volatility, stock exchange options, options on single stocks and exchange traded products, Mini Options, Weeklys Options, Strategy Benchmark Indexes, Social Media Indexes, Contract Specs and Trading Hours and Trader Incentive Programs. Through its subsidiary, Hanweck Associates, LLC, it delivers real-time risk and margin analytics on global derivatives markets."
CBRE,"About CBRE Group IncCBRE Group, Inc. is a holding company that conducts all of its operations through its subsidiaries. The Company operates as a commercial real estate services and investment company. The Company operates through the segments: The Americas; Europe, Middle East and Africa (EMEA); Asia Pacific; Global Investment Management, and Development Services. The Company provides commercial real estate services under the CBRE brand name, investment management services under the CBRE Global Investors brand name and development services under the Trammell Crow Company brand name. The Company's business is focused on commercial property, corporate facilities, project and transaction management, tenant/occupier and property/agency leasing, capital markets solutions (property sales, commercial mortgage brokerage, loan origination and servicing) real estate investment management, valuation, development services and proprietary research."
CDW,"About CDW CorpCDW Corporation (CDW) is a provider of integrated information technology (IT) solutions in the United States, Canada and the United Kingdom. The Company's segments include Corporate, Public and Other. The Corporate segment consists of private sector business customers in the United States based on employee size between Medium/Large customers, which primarily includes organizations with more than 100 employees, and Small Business customers, which primarily includes organizations with up to 100 employees. Its Public segment comprises government agencies and education and healthcare institutions in the United States. Its Other segment includes Canada and CDW UK. The CDW Advanced Services business consists primarily of customized engineering services delivered by technology specialists and engineers, and managed services that include Infrastructure as a Service (IaaS) offerings. The Company has centralized logistics and headquarters functions that provide services to the segments."
CE,"About Celanese CorporationCelanese Corporation (Celanese) is a technology and specialty materials company. The Company's segments include Advanced Engineered Materials, Consumer Specialties, Industrial Specialties, Acetyl Intermediates and Other Activities. The Advanced Engineered Materials segment includes the Company's engineered materials business and certain affiliates. The Consumer Specialties segment includes the Company's cellulose derivatives and food ingredients businesses, which serve consumer-driven applications. The Industrial Specialties segment includes the Company's emulsion polymers and ethylene vinyl acetate (EVA) polymers businesses. The Acetyl Intermediates segment includes the Company's intermediate chemistry business, which produces and supplies acetyl products, including acetic acid, vinyl acetate monomer (VAM), acetic anhydride and acetate esters. The Company has operations in North America, Europe and Asia. As of December 31, 2016, the Company had 30 global production facilities."
CNC,"About Centene CorpCentene Corporation is a multi-national healthcare company. The Company provides services to government-sponsored and commercial healthcare programs, focusing on under-insured and uninsured individuals. It also provides education and outreach programs to inform and assist members in accessing appropriate healthcare services. It operates through two segments: Managed Care and Specialty Services. The Managed Care segment provides health plan coverage to individuals through government subsidized and commercial programs. Its Specialty Services segment includes companies offering diversified healthcare services and products to its Managed Care segment and other external customers. It provides a range of healthcare products and services, primarily through Medicaid, Medicare and commercial products."
